[2013-05-15 09:56:32][admin][tbl_pfile][update][187][UPDATE tbl_pfile SET `pfile` = 'CFSTDE.p' , `recordlength` = '' , `irinaiyo` = '漢字シフトイン（0A41）、シフトアウト（0A42）\r\n は含まれないデータですが、\r\n 帳票の漢字項目（ファイルID内の「付替日」項目等）\r\nが 文字化けとなります。 \r\nX\'\'\'\'\'e34r234\'\'\'\'' , `tantosya` = '李啓凡' , `tantodate` = '5/3' , `memo` = '行ＩＤ条件処理不正、XMLも不正です'  WHERE id = 187]
[2013-05-15 10:52:31][admin][sys_table][update][2][UPDATE sys_table SET `table` = 'sys_table' , `name` = '表格'  WHERE id = 2]
[2013-05-15 10:52:31][admin][sys_table][update][3][UPDATE sys_table SET `table` = 'sys_list' , `name` = '一览'  WHERE id = 3]
[2013-05-15 11:03:58][admin][sys_table][update][2][UPDATE sys_table SET `table` = 'sys_table' , `name` = '表格'  WHERE id = 2]
[2013-05-15 11:03:58][admin][sys_table][update][3][UPDATE sys_table SET `table` = 'sys_list' , `name` = '一览'  WHERE id = 3]
[2013-05-15 11:04:02][admin][sys_table][update][4][UPDATE sys_table SET `table` = 'sys_code' , `name` = '编码'  WHERE id = 4]
[2013-05-15 11:04:02][admin][sys_table][update][5][UPDATE sys_table SET `table` = 'sys_codevalue' , `name` = '编码值'  WHERE id = 5]
[2013-05-15 11:04:43][admin][sys_table][update][3][UPDATE sys_table SET `table` = 'sys_list' , `name` = '一览'  WHERE id = 3]
[2013-05-15 11:04:43][admin][sys_table][update][4][UPDATE sys_table SET `table` = 'sys_code' , `name` = '编码'  WHERE id = 4]
[2013-05-15 11:04:43][admin][sys_table][update][5][UPDATE sys_table SET `table` = 'sys_codevalue' , `name` = '编码值'  WHERE id = 5]
[2013-05-15 11:22:40][admin][sys_table][update][3][UPDATE sys_table SET `table` = 'sys_list' , `name` = '一览'  WHERE id = 3]
[2013-05-15 11:22:40][admin][sys_table][update][4][UPDATE sys_table SET `table` = 'sys_code' , `name` = '编码'  WHERE id = 4]
[2013-05-15 11:23:02][admin][sys_table][update][2][UPDATE sys_table SET `table` = 'sys_table' , `name` = '表格'  WHERE id = 2]
[2013-05-15 11:23:02][admin][sys_table][update][3][UPDATE sys_table SET `table` = 'sys_list' , `name` = '一览'  WHERE id = 3]
[2013-05-15 11:23:23][admin][sys_table][update][4][UPDATE sys_table SET `table` = 'sys_code' , `name` = '编码'  WHERE id = 4]
[2013-05-15 11:23:23][admin][sys_table][update][5][UPDATE sys_table SET `table` = 'sys_codevalue' , `name` = '编码值'  WHERE id = 5]
[2013-05-15 11:24:15][admin][sys_table][update][4][UPDATE sys_table SET `table` = 'sys_code' , `name` = '编码'  WHERE id = 4]
[2013-05-15 11:24:15][admin][sys_table][update][5][UPDATE sys_table SET `table` = 'sys_codevalue' , `name` = '编码值'  WHERE id = 5]
[2013-05-15 11:25:46][admin][sys_table][update][3][UPDATE sys_table SET `table` = 'sys_list' , `name` = '一览'  WHERE id = 3]
[2013-05-15 11:25:46][admin][sys_table][update][4][UPDATE sys_table SET `table` = 'sys_code' , `name` = '编码'  WHERE id = 4]
[2013-05-15 11:26:38][admin][sys_table][update][3][UPDATE sys_table SET `table` = 'sys_list' , `name` = '一览'  WHERE id = 3]
[2013-05-15 11:26:38][admin][sys_table][update][4][UPDATE sys_table SET `table` = 'sys_code' , `name` = '编码'  WHERE id = 4]
[2013-05-15 11:26:51][admin][sys_table][update][3][UPDATE sys_table SET `table` = 'sys_list' , `name` = '一览'  WHERE id = 3]
[2013-05-15 11:26:51][admin][sys_table][update][4][UPDATE sys_table SET `table` = 'sys_code' , `name` = '编码'  WHERE id = 4]
[2013-05-15 11:27:11][admin][sys_table][update][3][UPDATE sys_table SET `table` = 'sys_list' , `name` = '一览'  WHERE id = 3]
[2013-05-15 11:27:11][admin][sys_table][update][4][UPDATE sys_table SET `table` = 'sys_code' , `name` = '编码'  WHERE id = 4]
[2013-05-15 11:27:40][admin][sys_table][update][3][UPDATE sys_table SET `table` = 'sys_list' , `name` = '一览'  WHERE id = 3]
[2013-05-15 11:27:40][admin][sys_table][update][4][UPDATE sys_table SET `table` = 'sys_code' , `name` = '编码'  WHERE id = 4]
